Names,Category,Sub Category,Rank,Technology
100bao,general-internet,file-sharing,5,peer-to-peer
1c-enterprise,business-systems,erp-crm,1,client-server
1und1-mail,saas,email,3,browser-based
24sevenoffice,saas,erp-crm,2,browser-based
2ch-base,collaboration,social-networking,2,browser-based
2ch-posting,collaboration,web-posting,2,browser-based
360-safeguard-update,business-systems,software-update,2,client-server
3pc,networking,ip-protocol,1,network-protocol
4shared,saas,file-sharing,4,browser-based
4sync,saas,file-sharing,3,client-server
51.com-base,collaboration,social-networking,2,browser-based
51.com-bbs,collaboration,web-posting,2,browser-based
51.com-posting,collaboration,web-posting,2,browser-based
51.com-webdisk,general-internet,file-sharing,4,browser-based
51.com-music,media,audio-streaming,2,browser-based
51.com-games,media,gaming,2,browser-based
51.com-mail,saas,email,1,browser-based
7shifts,saas,management,2,browser-based
8x8,collaboration,voip-video,4,client-server
abb-network-manager,business-systems,ics-protocols,1,client-server
abb-rp570,business-systems,ics-protocols,1,network-protocol
abbott-poca,business-systems,medical,1,client-server
abbott-ralsui,business-systems,medical,1,client-server
abbott-serial,business-systems,medical,1,client-server
absolute-manage,business-systems,management,1,client-server
accellion,saas,file-sharing,4,client-server
accelo,saas,erp-crm,2,browser-based
access-grid,collaboration,voip-video,3,client-server
acme-protocol,general-internet,internet-utility,1,browser-based
acronis-cloud-backup,saas,storage-backup,2,client-server
acronis-snapdeploy,business-systems,management,2,client-server
active-directory-base,business-systems,auth-service,2,client-server
ms-dc-replication,networking,infrastructure,1,network-protocol
ms-directory-service-setup,networking,infrastructure,1,network-protocol
activenet,networking,ip-protocol,1,network-protocol
activesync,business-systems,general-business,4,client-server
ad-selfservice,business-systems,auth-service,1,browser-based
addp-base,business-systems,ics-protocols,1,network-protocol
addp-discovery-response,business-systems,ics-protocols,1,network-protocol
addp-discovery-request,business-systems,ics-protocols,1,network-protocol
addp-reboot-request,business-systems,ics-protocols,1,network-protocol
addp-reboot-response,business-systems,ics-protocols,1,network-protocol
addp-dhcp-network-config-resp,business-systems,ics-protocols,1,network-protocol
addp-dhcp-network-config-req,business-systems,ics-protocols,1,network-protocol
addp-static-network-config-req,business-systems,ics-protocols,1,network-protocol
addp-static-network-config-resp,business-systems,ics-protocols,1,network-protocol
adnstream,media,photo-video,3,browser-based
adobe-cloud,saas,file-sharing,2,browser-based
adobe-meeting-uploading,saas,file-sharing,2,browser-based
adobe-meeting-file-transfer,saas,file-sharing,4,browser-based
adobe-meeting,saas,internet-conferencing,3,browser-based
adobe-meeting-desktop-sharing,saas,internet-conferencing,3,client-server
adobe-meeting-remote-control,saas,remote-access,3,browser-based
adobe-connectnow-file-transfer,saas,file-sharing,4,browser-based
adobe-connectnow-base,saas,internet-conferencing,2,browser-based
adobe-connectnow-remote-control,saas,remote-access,1,browser-based
adobe-cq,business-systems,general-business,1,client-server
adobe-creative-cloud-base,saas,general-business,2,client-server
adobe-creative-cloud-uploading,saas,general-business,3,client-server
adobe-echosign,saas,internet-utility,2,browser-based
adobe-flash-socketpolicy-server,general-internet,internet-utility,2,client-server
adobe-media-player,media,photo-video,2,client-server
